naicsCode_5,naicsCode_4,naicsCode_3,naicsCode_2,naicsCode_1,confidence_5,co2e_4,confidence_4,confidence_3,co2e_5,confidence_2,confidence_1,co2e_1,chosen_result,co2e_2,co2e_3,title_3,title_4,title_5,material_name,title_1,material_code,title_2
322130,339940,322220,322230,334118,0.502,0.349,0.503,0.529,0.89,0.529,0.543,0.199,1,0.489,0.6150000000000001,"Paper bag and coated and treated paper manufacturing","Office supplies (except paper) manufacturing","Paperboard mills","Handmade Cotton Keyboard","Computer terminals and other computer peripheral equipment manufacturing","OBGP-SS0VWYIM","Stationery product manufacturing"
325998,327320,327999,311423,311991,0.478,0.891,0.491,0.511,0.56,0.517,0.529,0.452,1,0.541,0.786,"Miscellaneous nonmetallic mineral products","Ready-mix concrete manufacturing","All other chemical product and preparation manufacturing","Handmade Concrete Salad","All other food manufacturing","VFHW-9EM3ZARC","Fruit and vegetable canning, pickling, and drying"
322121,327212,322291,532299,337124,0.51,0.5800000000000001,0.515,0.519,0.794,0.544,0.598,0.348,1,0.17,0.503,"Sanitary paper product manufacturing","Glass and glass product manufacturing","Paper mills","Sleek Plastic Table","Other household nonupholstered furniture","SIWW-7F9DGC66","General and consumer goods rental"
322230,518210,339992,334118,561410,0.355,0.175,0.36,0.394,0.489,0.46,0.464,0.143,1,0.199,0.276,"All other miscellaneous manufacturing","Data processing, hosting, and related services","Stationery product manufacturing","Fantastic Soft Keyboard","Business support services","PNON-Z8NBTYGQ","Computer terminals and other computer peripheral equipment manufacturing"
311991,311111,445210,424470,311612,0.394,0.729,0.416,0.421,0.452,0.447,0.657,2.047,1,0.272,0.279,"Food and beverage stores","Dog and cat food manufacturing","All other food manufacturing","Licensed Fresh Bacon","Animal (except poultry) slaughtering, rendering, and processing","KUNI-UX80UAWA","Grocery and related product wholesalers"
722511,722513,424490,311412,311991,0.399,0.344,0.422,0.447,0.261,0.543,0.57,0.452,1,0.8270000000000001,0.272,"Grocery and related product wholesalers","Limited-service restaurants","Full-service restaurants","Intelligent Steel Pizza","All other food manufacturing","GOBH-KEN1ZXRS","Frozen food manufacturing"
314999,331110,316210,313210,315280,0.522,1.088,0.523,0.546,0.308,0.56,0.628,0.191,1,0.632,0.282,"Leather and allied product manufacturing","Iron and steel mills and ferroalloy manufacturing","Other textile product mills","Refined Steel Pants","Apparel manufacturing","XSOZ-JK2WAU8D","Fabric mills"
334111,316998,326199,337124,334118,0.319,0.282,0.32,0.321,0.109,0.346,0.525,0.199,1,0.348,0.54,"Other plastics product manufacturing","Leather and allied product manufacturing","Electronic computer manufacturing","Sleek Plastic Mouse","Computer terminals and other computer peripheral equipment manufacturing","YPQU-H1XR85IQ","Other household nonupholstered furniture"
322230,532299,322121,322291,337124,0.456,0.17,0.466,0.475,0.489,0.479,0.48,0.348,1,0.503,0.794,"Paper mills","General and consumer goods rental","Stationery product manufacturing","Fantastic Soft Table","Other household nonupholstered furniture","XSBG-CDJHH7IM","Sanitary paper product manufacturing"
313310,316110,326199,315190,339920,0.624,0.282,0.624,0.662,0.5880000000000001,0.696,0.727,0.285,1,0.191,0.54,"Other plastics product manufacturing","Leather and allied product manufacturing","Textile and fabric finishing and fabric coating mills","Luxurious Cotton Gloves","Sporting and athletic goods manufacturing","DGOC-C7VAZKKJ","Apparel manufacturing"
